ticker,date,comment
AII,2025-11-04,higher-risk
CWCO,2025-11-04,sound but too high priced
HG,2025-11-04,compelling investment opportunity
KINS,2025-11-04,sound but be prepared for volatility
AEI,2025-11-04,*NOT* a sound company
BHF,2025-11-04,poor profitability metrics
CLEUF,2025-11-04,avoid extremely high-risk investment.
CYRX,2025-11-04,a deep value opportunity for patient investors
FGNX,2025-11-04,crypto: doubtful
FMTOF,2025-11-04,**NOT a sound company**
ARES,2025-11-04,excellent but the stock price has gotten ahead
GNE,2025-11-04,flawed business model in volatile commodity markets
IMPP,2025-11-04,petroleum w/ zero debt yet plagued by poor corporate governance.
LITM,2025-11-04,uranium and lithium. zero revenue early stage. speculative.
LNC,2025-11-04,*successful* strategic turnaround. interesting at current valuations.
LRHC,2025-11-04,a company in severe distress.
PRHI,2025-11-04,in distress. highly speculative.
TNK,2025-11-04,*potential* value opportunity for contrarian investors.
